Sample in Buffer,Sample in Window,TRIGGER,zusys_i/system_ila_0/U0/probe0_1[0:15]
336,336,0,9444
337,337,0,2046
338,338,0,1110
339,339,0,0309
340,340,0,0001
341,341,0,905c
342,342,0,1140
343,343,0,0904
344,344,0,4741
345,345,0,2151
346,346,0,4cb1
347,347,0,0142
348,348,0,047c
349,349,0,b78c
350,350,0,80c8
351,351,0,3806
352,352,0,189a
353,353,0,6077
354,354,0,83b8
355,355,0,ed73
356,356,0,11f0
357,357,0,2d77
358,358,0,1c01
359,359,0,bc12
360,360,0,4551
361,361,0,c044
362,362,0,554c
363,363,0,3011
364,364,0,1351
365,365,0,1010
366,366,0,4821
367,367,0,0140
368,368,0,8704
369,369,0,0444
370,370,0,1106
371,371,0,0850
372,372,0,0510
373,373,0,2440
374,374,0,4442
375,375,0,3400
376,376,0,0410
377,377,0,0140
378,378,0,0b00
379,379,0,0288
380,380,0,6310
381,381,0,8704
382,382,0,0144
383,383,0,0100
384,384,0,737c
385,385,0,55d9
386,386,0,2028
387,387,0,fbcf
388,388,0,8c46
389,389,0,a83d
390,390,0,056d
391,391,0,9172
392,392,0,013e
393,393,0,38c0
394,394,0,2024
395,395,0,0551
396,396,0,74b8
397,397,0,e6d8
398,398,0,60de
399,399,0,3ba2
400,400,0,8693
401,401,0,1880
402,402,0,9118
403,403,0,0211
404,404,0,2010
405,405,0,1010
406,406,0,1942
407,407,0,8804
408,408,0,0541
409,409,0,1004
410,410,0,8105
411,411,0,0982
412,412,0,7864
413,413,0,bcd2
414,414,0,bb88
415,415,0,7c24
416,416,0,0c7a
417,417,0,c884
418,418,0,2859
419,419,0,ef1c
420,420,0,4154
421,421,0,a790
422,422,0,9cb3
423,423,0,1345
424,424,0,0041
425,425,0,1541
426,426,0,0103
427,427,0,00a1
428,428,0,0410
429,429,0,49d0
430,430,0,0044
431,431,0,1141
432,432,0,3014
433,433,0,0401
434,434,0,0111
435,435,0,7040
436,436,0,fc50
437,437,0,1009
438,438,0,613b
439,439,0,99d0
440,440,0,e724
441,441,0,41a5
442,442,0,7394
443,443,0,8042
444,444,0,0c70
445,445,0,f142
446,446,0,9349
447,447,0,609f
448,448,0,2220
449,449,0,2760
450,450,0,e790
451,451,0,9499
452,452,0,4292
453,453,0,0800
454,454,0,0182
455,455,0,2010
456,456,0,0020
457,457,0,0400
458,458,0,c204
459,459,0,130c
460,460,0,3bfe
461,461,0,8368
462,462,0,0779
463,463,0,bb18
464,464,0,7568
465,465,0,8912
466,466,0,bb7c
467,467,0,84a0
468,468,0,44a4
469,469,0,80b5
470,470,0,5c38
471,471,0,fcce
472,472,0,f018
473,473,0,20ac
474,474,0,f301
475,475,0,1142
476,476,0,1130
477,477,0,0110
478,478,0,3000
479,479,0,0404
480,480,0,1113
481,481,0,2000
482,482,0,0143
483,483,0,0140
484,484,0,8044
485,485,0,0016
486,486,0,c800
487,487,0,f100
488,488,0,4541
489,489,0,0014
490,490,0,8604
491,491,0,9c93
492,492,0,8184
493,493,0,e140
494,494,0,e4c4
495,495,0,8f4c
496,496,0,c853
497,497,0,8430
498,498,0,ed53
499,499,0,2541
500,500,0,9104
501,501,0,2008
502,502,0,4020
503,503,0,2091
